accepted,classcode,cnn,cnntext,district,f_node_cnn,jurisdicti,layer,lf_fadd,lf_toadd,multigeom,nhood,oneway,rt_fadd,rt_toadd,st_type,street,street_gc,streetname,t_node_cnn,zip_code,geometry,x,y,mean_dist_10_crimes,mean_dist_10_vcrimes,mean_dist_10_pcrimes
Y,3,7753000.0,7753000,,24724000.0,DPW,STREETS,301.0,399.0,F,Financial District North,F,300.0,398.0,ST,KEARNY,KEARNY,KEARNY ST,24740000.0,94108,"LINESTRING (-122.4040307240193 37.79076009582759, -122.404219834933 37.79169058366668)",-122.40412527947616,37.79122533974713,6.90874686570131e-05,0.0002796477710251337,6.935199402150666e-05
Y,5,2842000.0,2842000,,25591000.0,DPW,STREETS,401.0,499.0,F,North Waterfront,B,400.0,498.0,ST,BEACH,BEACH,BEACH ST,25595000.0,94133,"LINESTRING (-122.4156164364664 37.80727587070984, -122.4172606313086 37.80707251397835)",-122.41643853388749,37.80717419234409,5.688502122256916e-05,0.0006745093037844993,5.688502122256916e-05
Y,3,6719000.0,6719000,,23906000.0,DPW,STREETS,801.0,899.0,F,Financial District South,F,800.0,898.0,ST,HARRISON,HARRISON,HARRISON ST,23908000.0,94107,"LINESTRING (-122.3996162324191 37.7807914830536, -122.4018432733271 37.77903213362679)",-122.40072975287312,37.779911808340195,6.674199711236818e-05,7.357947048158438e-05,6.674199711236818e-05
Y,5,8746103.0,8746103,,54124000.0,DPW,STREETS,767.0,799.0,F,Financial District South,T,0.0,0.0,ST,MARKET,MARKET,MARKET ST,24892000.0,94103,"LINESTRING (-122.4050132191337 37.78632868190675, -122.4057291430154 37.78576265557636, -122.4058310112804 37.7857439886799)",-122.40541285243171,37.786015875156025,6.583817821818006e-05,9.068836115743173e-05,6.583817821818006e-05
Y,4,405000.0,405000,,24327000.0,DPW,STREETS,51.0,99.0,F,South of Market,F,36.0,98.0,ST,08TH,8TH,08TH ST,24311000.0,94103,"LINESTRING (-122.414143375897 37.7782408838067, -122.4131576915769 37.77745741991867)",-122.41365053373696,37.77784915186268,6.104779560516083e-05,0.0002315780642524206,6.104779560516083e-05
Y,5,6750000.0,6750000,,24039000.0,DPW,STREETS,2251.0,2299.0,F,Inner Mission,B,2300.0,2348.0,ST,HARRISON,HARRISON,HARRISON ST,24038000.0,94110,"LINESTRING (-122.4126813859544 37.76062926846515, -122.4126430688742 37.7603238780051)",-122.4126622274143,37.760476573235124,6.905896627072012e-05,0.0003743477925315242,6.905896627072012e-05
Y,5,6556000.0,6556000,,24461000.0,DPW,STREETS,301.0,399.0,F,Van Ness - Civic Center,B,300.0,398.0,ST,GROVE,GROVE,GROVE ST,25939000.0,94102,"LINESTRING (-122.4215206982542 37.77802076077006, -122.4231655529515 37.77781524699049)",-122.42234312560284,37.777918003880266,5.6451401910315215e-05,0.00012891855909979012,5.754520022294426e-05
Y,5,10679000.0,10679000,,24918000.0,DPW,STREETS,401.0,499.0,F,Downtown - Tenderloin,B,400.0,498.0,ST,POWELL,POWELL,POWELL ST,24909000.0,94108,"LINESTRING (-122.4084015496774 37.78829319381329, -122.4085950446962 37.78922561458381)",-122.4084982971868,37.78875940419855,6.879690845683108e-05,6.960758908208194e-05,6.879690845683108e-05
Y,3,5440000.0,5440000,,24448000.0,DPW,STREETS,101.0,199.0,F,Van Ness - Civic Center,B,100.0,198.0,ST,FELL,FELL,FELL ST,24457000.0,94102,"LINESTRING (-122.4195062938487 37.77636886962565, -122.4211484240901 37.77615876488228)",-122.42032735896942,37.77626381725396,5.643987265417521e-05,0.0001334632100310485,5.643987265417521e-05
Y,3,6111000.0,6111000,,24917000.0,DPW,STREETS,401.0,499.0,F,Downtown - Tenderloin,F,400.0,498.0,ST,GEARY,GEARY,GEARY ST,24941000.0,94102,"LINESTRING (-122.4098740164501 37.78714914364841, -122.4115157673762 37.78693970662483)",-122.41069489191315,37.78704442513662,5.6438177929111424e-05,5.6438177929111424e-05,5.6438177929111424e-05
Y,4,8121000.0,8121000,,24434000.0,DPW,STREETS,101.0,199.0,F,Van Ness - Civic Center,B,100.0,198.0,ST,LARKIN,LARKIN,LARKIN ST,24435000.0,94102,"LINESTRING (-122.4165803435631 37.77865785492982, -122.4167680930189 37.77958443758111)",-122.416674218291,37.77912114625546,6.881407908990896e-05,0.00014921590080323676,6.881407908990896e-05
Y,4,3442000.0,3442000,,25174000.0,DPW,STREETS,1201.0,1299.0,F,Downtown - Tenderloin,T,1200.0,1298.0,ST,BUSH,BUSH,BUSH ST,25204000.0,94109,"LINESTRING (-122.4170168781136 37.78911017578317, -122.4186558724513 37.78890961205773)",-122.41783637528243,37.78900989392045,5.644448026821883e-05,0.0006174559089441613,5.6658384339263715e-05
